"filename", "language", "YAML", "Python", "Ignore", "Markdown", "Docker", "pip requirements", "JavaScript", "XML", "CSS", "JavaScript JSX", "JSON", "HTML", "comment", "blank", "total"
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Profile/PowerConsumption.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 4, 31
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Profile/PowerConsumtion.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 1, 61
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Profile/Promo.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Profile/Promo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Service/Header.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 3, 23
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Service/Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 29
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Service/Service.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Service/ServiceUnit.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 5, 16, 130
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Service/ServiceUnit.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 4, 65
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Services/Services.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 4, 33
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Services/Services.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 2, 171
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Services/Tiles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 36
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/components/Services/Tiles.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 3, 38
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/neuroset.js", "JavaScript", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 27, 19, 98
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/screens/Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 29
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/screens/Profile.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/screens/Profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 27
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/screens/Screen.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/screens/Service.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 5, 16, 129
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/screens/Service.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 4, 104
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/screens/Services.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/store/appStore.js", "JavaScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 4, 20
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/store/serviceStore.js", "JavaScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 4, 28
"/Users/daniilrakityansky/Documents/Project-X/frontend/src/store/store.js", "JavaScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/daniilrakityansky/Documents/Project-X/frontend/vite.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"/Users/daniilrakityansky/Documents/Project-X/requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"Total", "-", 35, 955, 1, 2, 14, 9, 159, 200, 1119, 1078, 1314, 13, 83, 621, 5603
